match_id,season,date,home_team,away_team,diff_total,diff_attack,diff_defense,home_team_total,away_team_total,both_coverage_ok,side_x,home_opponent,home_team_attack,home_team_defense,home_coverage_rate,home_coverage_ok,side_y,away_opponent,away_team_attack,away_team_defense,away_coverage_rate,away_coverage_ok,HomeScore,AwayScore,home_form_pts,away_form_pts,home_form_gd,away_form_gd,diff_form_pts,diff_form_gd
2022_2022-04-07_York_United_vs_HFX_Wanderers,2022,2022-04-07 23:30:00+00:00,York,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2022_2022-04-09_Atlético_Ottawa_vs_Cavalry,2022,2022-04-09 19:00:00+00:00,Atlético,Cavalry,0.0,0.0,0.0,55.0,55.0,True,home,Cavalry,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2022_2022-04-10_Edmonton_vs_Valour,2022,2022-04-10 20:00:00+00:00,Edmonton,Valour,84000.0,84000.0,84000.0,100500.0,16500.0,True,home,Valour,100500.0,100500.0,1.0,True,away,Edmonton,16500.0,16500.0,1.0,True,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2022_2022-04-10_Pacific_vs_Forge,2022,2022-04-10 23:00:00+00:00,Pacific,Forge,0.0,0.0,0.0,16500.0,16500.0,True,home,Forge,16500.0,16500.0,1.0,True,away,Pacific,16500.0,16500.0,1.0,True,2,1,0.0,0.0,0.0,0.0,0.0,0.0
2022_2022-04-16_Edmonton_vs_York_United,2022,2022-04-16 01:00:00+00:00,Edmonton,York,0.0,0.0,0.0,55.0,55.0,True,home,York,55.0,55.0,1.0,True,away,Edmonton,55.0,55.0,1.0,True,1,1,1.0,0.0,0.0,-1.0,1.0,1.0
2022_2022-04-16_Atlético_Ottawa_vs_HFX_Wanderers,2022,2022-04-16 17:00:00+00:00,Atlético,Wanderers,0.0,0.0,0.0,55.0,55.0,True,home,Wanderers,55.0,55.0,1.0,True,away,Atlético,55.0,55.0,1.0,True,1,0,3.0,3.0,1.0,1.0,0.0,0.0
2022_2022-04-16_Forge_vs_Cavalry,2022,2022-04-16 20:00:00+00:00,Forge,Cavalry,-103.70590000000084,-103.70590000000084,-103.70590000000084,16396.2941,16500.0,True,home,Cavalry,16396.2941,16396.2941,1.0,True,away,Forge,16500.0,16500.0,1.0,True,2,2,0.0,0.0,-1.0,-1.0,0.0,0.0
2022_2022-04-17_Pacific_vs_Valour,2022,2022-04-17 20:00:00+00:00,Pacific,Valour,87.98400000000038,87.98400000000038,87.98400000000038,16603.7059,16515.7219,True,home,Valour,16603.7059,16603.7059,1.0,True,away,Pacific,16515.7219,16515.7219,1.0,True,3,2,3.0,1.0,1.0,0.0,2.0,1.0
2022_2022-04-22_York_United_vs_Cavalry,2022,2022-04-22 23:30:00+00:00,York,Cavalry,0.0,0.0,0.0,55.0,55.0,True,home,Cavalry,55.0,55.0,1.0,True,away,York,55.0,55.0,1.0,True,2,0,0.5,0.5,-0.5,-0.5,0.0,0.0
2022_2022-04-23_Forge_vs_Edmonton,2022,2022-04-23 20:00:00+00:00,Forge,Edmonton,-83380.4231,-83380.4231,-83380.4231,16383.5068,99763.9299,True,home,Edmonton,16383.5068,16383.5068,1.0,True,away,Forge,99763.9299,99763.9299,1.0,True,3,0,0.5,1.0,-0.5,0.0,-0.5,-0.5
